iso3c,country,devClass,department,regionShort,region,ifscode,forArabPresent,forArabPresentDetailed,forArabPresentGCC,FCS,IDB,forBRUconf,forBRUconfDetail,forEBRD,forMRPamericas,oilExporter,forCESEE,forAdvEurope
ABW,Aruba,Emerging,WHD,Americas,"Latin America, North America, and the Caribbean",314,,,,,,,,,Caribbean,,,
AFG,Afghanistan,Low-Income,MCD,MENAP,"Middle East, North Africa, Afghanistan, and Pakistan",512,MENAP,MENAP_OI_LIC,non-GCC_MENA,FCS,,,,,,,,
AGO,Angola,Emerging,AFR,SSA,Sub-Sahara Africa,614,,,,,,,,,,Yes,,
ALB,Albania,Emerging,EUR,Europe,Europe,914,,,,,,EUReme,EUR_southeastern_nonEU,Recipient,,,CESEE,
ARE,United Arab Emirates,Emerging,MCD,MENAP,"Middle East, North Africa, Afghanistan, and Pakistan",466,MENAP,MENAP_OE,GCC,,,,,shareholderOnly,,Yes,,
ARG,Argentina,Emerging,WHD,Americas,"Latin America, North America, and the Caribbean",213,,,,,IDB,,,,Latin America,,,
ARM,Armenia,Emerging,MCD,MENAP,"Middle East, North Africa, Afghanistan, and Pakistan",911,CCA,CCA_OI_EM,,,,,,Recipient,,,,
ATG,Antigua and Barbuda,Emerging,WHD,Americas,"Latin America, North America, and the Caribbean",311,,,,,IDB,,,,Caribbean,,,
AUS,Australia,Advanced,APD,Asia-Pacific,Asia-Pacific,193,,,,,,,,shareholderOnly,,,,
AUT,Austria,Advanced,EUR,Europe,Europe,122,,,,,,EURadv,EUR_euro_area,shareholderOnly,,,,AdvEurope
AZE,Azerbaijan,Emerging,MCD,MENAP,"Middle East, North Africa, Afghanistan, and Pakistan",912,CCA,CCA_OE,,,,,,Recipient,,Yes,,
BDI,Burundi,Low-Income,AFR,SSA,Sub-Sahara Africa,618,,,,FCS,,,,,,,,
BEL,Belgium,Advanced,EUR,Europe,Europe,124,,,,,,EURadv,EUR_euro_area,shareholderOnly,,,,AdvEurope
BEN,Benin,Low-Income,AFR,SSA,Sub-Sahara Africa,638,,,,,,,,Recipient,,,,
BFA,Burkina Faso,Low-Income,AFR,SSA,Sub-Sahara Africa,748,,,,FCS,,,,,,,,
BGD,Bangladesh,Low-Income,APD,Asia-Pacific,Asia-Pacific,513,,,,,,,,,,,,
