ifscode,country,issue_date,issuance_year,issuance_quarter,issuance_month,maturity,maturity_years,maturity_year,maturity_quarter,maturity_month,volume_m,fx_rate,usd_equivalent,yield,coupon,coupon_type,ranking,moodys,s_p,fitch,Banks,Asset Managers / Hedge Funds,Insurers / Pension Funds / Corporates,Supranationals / Sovereign Wealth Fundss / Public Sector,Europe,North America,Asia / Pacific,Middle East / MENA,Latin America,Africa,Others / Unclassified,iso,g20,euro_area,oil,commodity,Group,Region,bond_id,re_offer,spread,yield_num,coupon_num,yield2_num,Region_clean,s_p_clean
186.0000,Turkiye,2003-01-30,2003,2003-Q1,1.0000,2008-01-13,4.0000,2008,2008-Q1,2008-01,350.0000,1.0000,353.0600,,10.5,Fixed,HY,B1,B-,B,,,,,,,,,,,,TUR,1.0000,0.0000,0.0000,0.0000,Emerging,EUR,2003-01-30_TURKIYE_USD_2008-01-13_350,100.8750,UST+726.5,,0.1050,0.1050,Europe,B
186.0000,Turkiye,2003-01-17,2003,2003-Q1,1.0000,2008-01-24,5.0000,2008,2008-Q1,2008-01,500.0000,1.0655,526.2200,,9.875,Fixed,HY,B1,B-,NR,,,,,,,,,,,,TUR,1.0000,0.0000,0.0000,0.0000,Emerging,EUR,2003-01-17_TURKIYE_EUR_2008-01-24_500,98.7740,B+680bp,,0.0988,0.0988,Europe,B
186.0000,Turkiye,2003-06-17,2003,2003-Q2,6.0000,2008-03-19,4.0000,2008,2008-Q1,2008-03,750.0000,1.0000,780.5000,8.8%,9.875,Fixed,NR,NR,NR,NR,,,,,,,,,,,,TUR,1.0000,0.0000,0.0000,0.0000,Emerging,EUR,2003-06-17_TURKIYE_USD_2008-03-19_750,104.0670,T+663,0.0880,0.0988,0.0880,Europe,NR
186.0000,Turkiye,2004-09-10,2004,2004-Q3,9.0000,2009-09-21,5.0000,2009,2009-Q3,2009-09,600.0000,1.2100,718.3000,5.75%,5.5,Fixed,NR,NR,NR,NR,,,,,,,,,,,,TUR,1.0000,0.0000,0.0000,0.0000,Emerging,EUR,2004-09-10_TURKIYE_EUR_2009-09-21_600,98.9400,,0.0575,0.0550,0.0575,Europe,NR
186.0000,Turkiye,2003-06-10,2003,2003-Q2,6.0000,2011-01-18,7.0000,2011,2011-Q1,2011-01,750.0000,1.1690,868.5200,,9.5,Fixed,NR,NR,NR,NR,,,,,,,,,,,,TUR,1.0000,0.0000,0.0000,0.0000,Emerging,EUR,2003-06-10_TURKIYE_EUR_2011-01-18_750,99.0610,11+642,,0.0950,0.0950,Europe,NR
186.0000,Turkiye,2004-06-24,2004,2004-Q2,6.0000,2011-06-30,7.0000,2011,2011-Q2,2011-06,750.0000,1.0000,740.4900,9.25%,9,Fixed,NR,NR,NR,NR,,,,,,,,,,,,TUR,1.0000,0.0000,0.0000,0.0000,Emerging,EUR,2004-06-24_TURKIYE_USD_2011-06-30_750,98.7320,,0.0925,0.0900,0.0925,Europe,NR
186.0000,Turkiye,2005-06-22,2005,2005-Q2,6.0000,2012-07-06,7.0000,2012,2012-Q3,2012-07,650.0000,1.2100,777.3800,4.95%,4.75,Fixed,HY,B1,BB-,NR,,,,,,,,,,,,TUR,1.0000,0.0000,0.0000,0.0000,Emerging,EUR,2005-06-22_TURKIYE_EUR_2012-07-06_650,98.8410,,0.0495,0.0475,0.0495,Europe,BB
186.0000,Turkiye,2005-12-05,2005,2005-Q4,12.0000,2012-07-06,6.0000,2012,2012-Q3,2012-07,350.0000,1.1700,409.9100,4.727%,4.75,Fixed,HY,B1,BB-,BB-,,,,,,,,,,,,TUR,1.0000,0.0000,0.0000,0.0000,Emerging,EUR,2005-12-05_TURKIYE_EUR_2012-07-06_350,100.1000,,0.0473,0.0475,0.0473,Europe,BB
186.0000,Turkiye,2003-05-12,2003,2003-Q2,5.0000,2013-01-14,9.0000,2013,2013-Q1,2013-01,750.0000,1.0000,757.5000,,11,Fixed,NR,NR,NR,NR,,,,,,,,,,,,TUR,1.0000,0.0000,0.0000,0.0000,Emerging,EUR,2003-05-12_TURKIYE_USD_2013-01-14_750,101.0000,UST+717bp,,0.1100,0.1100,Europe,NR
186.0000,Turkiye,2003-01-09,2003,2003-Q1,1.0000,2014-01-14,11.0000,2014,2014-Q1,2014-01,750.0000,1.0000,738.9200,,11,Fixed,HY,B1,B-,B,,,,,,,,,,,,TUR,1.0000,0.0000,0.0000,0.0000,Emerging,EUR,2003-01-09_TURKIYE_USD_2014-01-14_750,98.5220,10YUST+712,,0.1100,0.1100,Europe,B
