date,germany_10y,germany_30y,japan_10y,japan_30y,uk_10y,uk_30y,us_10y,us_30y
1980-01-02,,,,,,,10.502,
1980-01-03,,,,,,,10.602,
1980-01-04,,,,,,,10.662,
1980-01-07,,,,,,,10.632,
1980-01-08,,,,,,,10.572,
1980-01-09,,,,,,,10.582,
1980-01-10,,,,,,,10.512,
1980-01-11,,,,,,,10.682,
1980-01-14,,,,,,,10.702,
1980-01-15,,,,,,,10.652,
1980-01-16,,,,,,,10.652,
1980-01-17,,,,,,,10.712,
1980-01-18,,,,,,,10.822,
1980-01-21,,,,,,,10.962,
1980-01-22,,,,,,,10.852,
1980-01-23,,,,,,,10.822,
1980-01-24,,,,,,,11.012,
1980-01-25,,,,,,,11.102,
1980-01-28,,,,,,,11.152,
1980-01-29,,,,,,,11.212,
1980-01-30,,,,,,,11.162,
1980-01-31,,,,,,,11.132,
1980-02-01,,,,,,,11.292,
1980-02-04,,,,,,,11.402,
1980-02-05,,,,,,,11.732,
1980-02-06,,,,,,,11.922,
1980-02-07,,,,,,,11.712,
1980-02-08,,,,,,,11.802,
1980-02-11,,,,,,,12.012,
1980-02-13,,,,,,,11.862,
1980-02-14,,,,,,,11.972,
1980-02-15,,,,,,,12.202,
1980-02-19,,,,,,,12.852,
1980-02-20,,,,,,,12.842,
1980-02-21,,,,,,,13.222,
1980-02-22,,,,,,,13.062,
1980-02-25,,,,,,,13.272,
1980-02-26,,,,,,,13.652,
1980-02-27,,,,,,,13.462,
1980-02-28,,,,,,,12.922,
1980-02-29,,,,,,,12.722,
1980-03-03,,,,,,,12.792,
1980-03-04,,,,,,,12.912,
1980-03-05,,,,,,,13.032,
1980-03-06,,,,,,,13.132,
1980-03-07,,,,,,,12.862,
1980-03-10,,,,,,,12.632,
1980-03-11,,,,,,,12.412,
1980-03-12,,,,,,,12.622,
1980-03-13,,,,,,,12.502,
1980-03-14,,,,,,,12.522,
1980-03-17,,,,,,,12.582,
1980-03-18,,,,,,,12.402,
1980-03-19,,,,,,,12.352,
1980-03-20,,,,,,,12.622,
1980-03-21,,,,,,,12.752,
1980-03-24,,,,,,,13.172,
1980-03-25,,,,,,,13.102,
1980-03-26,,,,,,,13.032,
1980-03-27,,,,,,,12.972,
1980-03-28,,,,,,,12.722,
1980-03-31,,,,,,,12.642,
1980-04-01,,,,,,,12.692,
1980-04-02,,,,,,,12.632,
1980-04-03,,,,,,,12.522,
1980-04-07,,,,,,,12.132,
1980-04-08,,,,,,,12.212,
1980-04-09,,,,,,,12.062,
1980-04-10,,,,,,,12.062,
1980-04-11,,,,,,,11.792,
1980-04-14,,,,,,,11.622,
1980-04-15,,,,,,,11.572,
1980-04-16,,,,,,,10.902,
1980-04-17,,,,,,,11.132,
1980-04-18,,,,,,,11.052,
1980-04-21,,,,,,,10.902,
1980-04-22,,,,,,,10.822,
1980-04-23,,,,,,,10.892,
1980-04-24,,,,,,,10.962,
1980-04-25,,,,,,,10.952,
1980-04-28,,,,,,,10.632,
1980-04-29,,,,,,,10.672,
1980-04-30,,,,,,,10.762,
1980-05-01,,,,,,,10.572,
1980-05-02,,,,,,,10.242,
1980-05-05,,,,,,,10.182,
1980-05-06,,,,,,,9.802,
1980-05-07,,,,,,,9.962,
1980-05-08,,,,,,,10.182,
1980-05-09,,,,,,,10.302,
1980-05-12,,,,,,,10.302,
1980-05-13,,,,,,,10.132,
1980-05-14,,,,,,,10.142,
1980-05-15,,,,,,,10.312,
1980-05-16,,,,,,,10.372,
1980-05-19,,,,,,,10.532,
1980-05-20,,,,,,,10.222,
1980-05-21,,,,,,,10.082,
1980-05-22,,,,,,,10.102,
1980-05-23,,,,,,,9.852,
1980-05-27,,,,,,,9.962,
1980-05-28,,,,,,,10.102,
1980-05-29,,,,,,,10.242,
1980-05-30,,,,,,,10.252,
1980-06-02,,,,,,,10.312,
1980-06-03,,,,,,,10.162,
1980-06-04,,,,,,,10.072,
1980-06-05,,,,,,,10.022,
1980-06-06,,,,,,,9.812,
1980-06-09,,,,,,,9.732,
1980-06-10,,,,,,,9.832,
1980-06-11,,,,,,,9.702,
1980-06-12,,,,,,,9.532,
1980-06-13,,,,,,,9.512,
1980-06-16,,,,,,,9.472,
1980-06-17,,,,,,,9.492,
1980-06-18,,,,,,,9.562,
1980-06-19,,,,,,,9.562,
1980-06-20,,,,,,,9.492,
1980-06-23,,,,,,,9.632,
1980-06-24,,,,,,,9.682,
1980-06-25,,,,,,,9.792,
1980-06-26,,,,,,,9.872,
1980-06-27,,,,,,,10.042,
1980-06-30,,,,,,,10.092,
1980-07-01,,,,,,,10.132,
1980-07-02,,,,,,,10.192,
1980-07-03,,,,,,,10.012,
1980-07-07,,,,,,,10.202,
1980-07-08,,,,,,,10.092,
1980-07-09,,,,,,,10.142,
1980-07-10,,,,,,,10.212,
1980-07-11,,,,,,,10.282,
1980-07-14,,,,,,,10.332,
1980-07-15,,,,,,,10.172,
1980-07-16,,,,,,,10.072,
1980-07-17,,,,,,,10.212,
1980-07-18,,,,,,,10.202,
1980-07-21,,,,,,,10.132,
1980-07-22,,,,,,,10.182,
1980-07-23,,,,,,,10.122,
1980-07-24,,,,,,,10.242,
1980-07-25,,,,,,,10.352,
1980-07-28,,,,,,,10.462,
1980-07-29,,,,,,,10.452,
1980-07-30,,,,,,,10.532,
1980-07-31,,,,,,,10.762,
1980-08-01,,,,,,,10.762,
1980-08-04,,,,,,,10.692,
1980-08-05,,,,,,,10.702,
1980-08-06,,,,,,,10.802,
