date,swap,repay
2017-11-01,0.331,
2017-12-01,0.0197,
2018-01-01,,
2018-02-01,,0.0
2018-03-01,0.191,0.0
2018-04-01,0.3018,0.0
2018-05-01,0.3382,0.0176
2018-06-01,0.2186,0.1433
2018-07-01,0.2956,0.1054
2018-08-01,0.3703,0.1175
2018-09-01,0.0441,0.1577
2018-10-01,0.1483,0.1109
2018-11-01,0.0417,0.16
2018-12-01,0.0,0.0265
2019-01-01,0.0507,0.0
2019-02-01,0.0368,0.0262
2019-03-01,0.136,0.1472
2019-04-01,0.1174,0.1666
2019-05-01,0.1387,0.0884
2019-06-01,0.171,0.2471
2019-07-01,0.1584,0.1141
2019-08-01,0.1671,0.2208
2019-09-01,0.042,0.1003
2019-10-01,0.0824,0.0838
2019-11-01,0.0458,0.093
2019-12-01,0.0023,0.0277
2020-01-01,0.0,0.0
2020-02-01,0.0,0.0
2020-03-01,0.0681,0.0958
2020-04-01,0.1666,0.0684
2020-05-01,0.2627,0.1352
2020-06-01,0.2022,0.3399
2020-07-01,0.23,0.2715
2020-08-01,0.2789,0.2573
2020-09-01,0.1659,0.2424
2020-10-01,0.253,0.2177
2020-11-01,0.1384,0.3863
2020-12-01,0.1256,0.0652
2021-01-01,0.3623,0.003
2021-02-01,0.0557,0.0599
2021-03-01,0.4407,0.2884
2021-04-01,0.4359,0.3763
2021-05-01,0.3052,0.288
2021-06-01,0.2613,0.402
2021-07-01,0.2534,0.2515
2021-08-01,0.2867,0.3963
2021-09-01,0.1662,0.2526
2021-10-01,0.2616,0.1795
2021-11-01,0.0855,0.1391
2021-12-01,0.2043,0.0316
2022-01-01,0.1152,0.0288
2022-02-01,0.0132,0.0108
2022-03-01,0.1261,0.1155
2022-04-01,0.1634,0.1367
2022-05-01,0.4541,0.2438
2022-06-01,0.3572,0.4343
2022-07-01,0.2815,0.492
2022-08-01,0.3267,0.2718
2022-09-01,0.2689,0.3725
2022-10-01,0.2252,0.2243
2022-11-01,0.1978,0.3793
2022-12-01,0.0816,0.0661
2023-01-01,0.0177,0.0035
2023-02-01,0.1342,0.0511
2023-03-01,0.2883,0.3078
2023-04-01,0.3903,0.4292
2023-05-01,0.4534,0.2502
2023-06-01,0.3488,0.5917
2023-07-01,0.3838,0.3956
2023-08-01,0.6017,0.5913
2023-09-01,0.3512,0.6235
2023-10-01,1.1696,0.1948
2023-11-01,0.4563,0.1297
2023-12-01,0.085,0.0974
2024-01-01,0.2091,0.1258
2024-02-01,0.1594,0.1467
2024-03-01,0.3631,0.3447
2024-04-01,0.2154,0.289
2024-05-01,0.4216,0.2687
2024-06-01,0.2983,0.4454
2024-07-01,0.3908,0.5197
2024-08-01,0.2617,0.3804
2024-09-01,0.1523,0.1787
2024-10-01,0.3476,0.1104
2024-11-01,1.2089,0.1328
2024-12-01,1.046,0.0459
2025-01-01,0.2522,0.0815
2025-02-01,0.8092,0.033
2025-03-01,0.5413,0.0996
2025-04-01,0.4399,0.1652
2025-05-01,0.2876,0.2251
2025-06-01,0.5472,0.4725
2025-07-01,0.5103,0.4011
2025-08-01,0.4086,0.4975
2025-09-01,0.3878,0.4108
2025-10-01,0.2548,0.2569
2025-11-01,0.3789,0.2636
2025-12-01,0.1105,0.1186
2026-01-01,0.4349,
