date,Refinancing/swap bonds,Official bond repayments
2023-01-01,0.02,0.0
2023-02-01,0.13,0.05
2023-03-01,0.29,0.31
2023-04-01,0.39,0.43
2023-05-01,0.45,0.25
2023-06-01,0.35,0.59
2023-07-01,0.38,0.4
2023-08-01,0.6,0.59
2023-09-01,0.35,0.62
2023-10-01,1.17,0.19
2023-11-01,0.46,0.13
2023-12-01,0.08,0.1
2024-01-01,0.21,0.13
2024-02-01,0.16,0.15
2024-03-01,0.36,0.34
2024-04-01,0.22,0.29
2024-05-01,0.42,0.27
2024-06-01,0.3,0.45
2024-07-01,0.39,0.52
2024-08-01,0.26,0.38
2024-09-01,0.15,0.18
2024-10-01,0.35,0.11
2024-11-01,1.21,0.13
2024-12-01,1.05,0.05
2025-01-01,0.25,0.08
2025-02-01,0.81,0.03
2025-03-01,0.54,0.1
2025-04-01,0.44,0.17
2025-05-01,0.29,0.23
2025-06-01,0.55,0.47
2025-07-01,0.51,0.4
2025-08-01,0.41,0.5
2025-09-01,0.39,0.41
2025-10-01,0.25,0.26
2025-11-01,0.38,0.26
2025-12-01,0.11,0.12
