date,ten_yr,three_mo
2010-01-01,39.74,51.81
2010-01-01,,38.14
2010-01-04,,37.58
2010-01-04,42.09,51.83
2010-01-05,,37.18
2010-01-05,41.88,52.56
2010-01-06,41.52,53.3
2010-01-06,,36.89
2010-01-07,41.3,53.53
2010-01-07,,36.59
2010-01-08,41.25,53.3
2010-01-08,,36.55
2010-01-11,,36.63
2010-01-11,40.32,52.84
2010-01-12,,36.53
2010-01-12,39.47,51.39
2010-01-13,39.38,50.7
2010-01-13,,36.27
2010-01-14,39.39,51.27
2010-01-14,,35.44
2010-01-15,,34.88
2010-01-15,39.46,51.79
2010-01-18,39.18,51.89
2010-01-18,,33.71
2010-01-19,39.26,51.61
2010-01-19,,31.55
2010-01-20,39.34,51.73
2010-01-20,,30.75
2010-01-21,39.54,52.01
2010-01-21,,30.54
2010-01-22,,30.05
2010-01-22,40.06,52.0
2010-01-25,,29.39
2010-01-25,40.73,51.92
2010-01-26,41.37,51.83
2010-01-26,,29.06
2010-01-27,,28.45
2010-01-27,41.6,51.65
2010-01-28,,27.85
2010-01-28,42.46,51.36
2010-01-29,,27.27
2010-01-29,43.18,50.4
2010-02-01,43.69,49.7
2010-02-01,,26.69
2010-02-02,44.3,49.29
2010-02-02,,26.34
2010-02-03,44.99,49.02
2010-02-03,,26.05
2010-02-04,,25.92
2010-02-04,45.88,48.68
2010-02-05,,25.83
2010-02-05,46.29,48.41
2010-02-08,46.36,48.11
2010-02-08,,25.83
2010-02-09,,25.73
2010-02-09,46.39,48.05
2010-02-10,46.42,48.05
2010-02-11,,25.39
2010-02-11,46.52,47.97
2010-02-12,,25.26
2010-02-12,46.18,47.85
2010-02-15,45.82,47.95
2010-02-15,,24.91
2010-02-16,45.22,47.8
2010-02-16,,24.58
2010-02-17,,24.27
2010-02-17,44.57,47.74
2010-02-18,43.58,47.41
2010-02-18,,24.16
2010-02-19,42.23,46.84
2010-02-19,,23.91
2010-02-22,40.58,46.33
2010-02-22,,23.26
2010-02-23,38.78,46.0
2010-02-23,,22.75
2010-02-24,36.96,45.63
2010-02-24,,22.32
2010-02-25,,21.81
2010-02-25,35.06,44.92
2010-02-26,,21.19
2010-02-26,33.28,44.18
2010-03-01,,21.03
2010-03-01,31.7,42.82
2010-03-02,,20.77
2010-03-02,29.81,41.64
2010-03-03,28.42,40.64
2010-03-03,,20.68
2010-03-04,,20.42
2010-03-04,26.93,39.53
2010-03-05,26.19,38.55
2010-03-05,,20.64
2010-03-08,,20.41
2010-03-08,25.55,37.89
2010-03-09,24.93,37.42
2010-03-09,,20.09
