Date,"Monthly (billions of dollars, left scale)","Annual (percent of GDP, right scale)"
2015-03-31,2.63,
2015-04-30,3.43,
2015-05-31,2.55,
2015-06-30,2.94,
2015-07-31,3.6,
2015-08-31,1.91,
2015-09-30,3.2,
2015-10-31,3.44,
2015-11-30,2.89,
2015-12-31,2.89,
2016-01-31,3.05,0.18
2016-02-29,2.54,0.18
2016-03-31,2.87,0.18
2016-04-30,2.8,0.18
2016-05-31,2.43,0.18
2016-06-30,2.78,0.18
2016-07-31,3.06,0.18
2016-08-31,2.95,0.18
2016-09-30,3.15,0.18
2016-10-31,3.07,0.18
2016-11-30,2.9,0.18
2016-12-31,2.85,0.18
2017-01-31,2.97,0.18
2017-02-28,2.49,0.18
2017-03-31,2.67,0.18
2017-04-30,3.01,0.18
2017-05-31,2.42,0.18
2017-06-30,2.87,0.18
2017-07-31,3.19,0.18
2017-08-31,2.95,0.18
2017-09-30,3.2,0.18
2017-10-31,3.24,0.18
2017-11-30,3.1,0.18
2017-12-31,3.11,0.18
2018-01-31,3.19,0.24
2018-02-28,2.67,0.24
2018-03-31,3.08,0.24
2018-04-30,3.45,0.24
2018-05-31,2.97,0.24
2018-06-30,3.51,0.24
2018-07-31,4.16,0.24
2018-08-31,4.25,0.24
2018-09-30,4.57,0.24
2018-10-31,5.55,0.24
2018-11-30,6.28,0.24
2018-12-31,5.99,0.24
2019-01-31,6.63,0.34
2019-02-28,5.08,0.34
2019-03-31,5.16,0.34
2019-04-30,5.24,0.34
2019-05-31,4.93,0.34
2019-06-30,5.61,0.34
2019-07-31,6.47,0.34
2019-08-31,7.01,0.34
2019-09-30,6.83,0.34
2019-10-31,7.76,0.34
2019-11-30,6.94,0.34
2019-12-31,6.45,0.34
2020-01-31,6.92,0.31
2020-02-29,6.29,0.31
2020-03-31,4.81,0.31
2020-04-30,4.11,0.31
2020-05-31,3.83,0.31
2020-06-30,4.48,0.31
2020-07-31,5.01,0.31
2020-08-31,5.9,0.31
2020-09-30,6.05,0.31
2020-10-31,6.16,0.31
2020-11-30,5.97,0.31
2020-12-31,6.05,0.31
2021-01-31,5.87,0.36
2021-02-28,6.32,0.36
2021-03-31,6.28,0.36
2021-04-30,7.13,0.36
2021-05-31,6.43,0.36
2021-06-30,7.15,0.36
2021-07-31,7.51,0.36
2021-08-31,7.27,0.36
2021-09-30,7.86,0.36
2021-10-31,7.77,0.36
2021-11-30,7.82,0.36
2021-12-31,8.19,0.36
2022-01-31,8.59,0.38
2022-02-28,8.05,0.38
2022-03-31,8.15,0.38
2022-04-30,9.16,0.38
2022-05-31,8.1,0.38
2022-06-30,8.36,0.38
2022-07-31,8.53,0.38
2022-08-31,8.46,0.38
2022-09-30,8.74,0.38
2022-10-31,8.16,0.38
2022-11-30,7.17,0.38
2022-12-31,6.55,0.38
2023-01-31,6.84,0.28
2023-02-28,6.35,0.28
2023-03-31,6.15,0.28
2023-04-30,6.35,0.28
2023-05-31,6.37,0.28
2023-06-30,6.48,0.28
2023-07-31,6.91,0.28
2023-08-31,6.33,0.28
2023-09-30,6.68,0.28
2023-10-31,6.9,0.28
2023-11-30,6.3,0.28
2023-12-31,5.74,0.28
2024-01-31,6.48,0.27
2024-02-29,6.21,0.27
2024-03-31,6.06,0.27
2024-04-30,6.37,0.27
2024-05-31,5.22,0.27
2024-06-30,6.32,0.27
2024-07-31,7.13,0.27
2024-08-31,7.05,0.27
2024-09-30,7.25,0.27
2024-10-31,7.3,0.27
2024-11-30,6.71,0.27
2024-12-31,6.81,0.27
2025-01-31,7.34,0.86
2025-02-28,7.25,0.86
2025-03-31,8.17,0.86
2025-04-30,15.63,0.86
2025-05-31,22.17,0.86
2025-06-30,26.63,0.86
2025-07-31,27.67,0.86
2025-08-31,29.5,0.86
2025-09-30,29.67,0.86
2025-10-31,31.35,0.86
2025-11-30,30.76,0.86
2025-12-31,27.89,0.86
2026-01-31,27.74,
2026-02-28,26.59,
2026-03-31,22.15,
2026-04-30,22.12,
