year,Domestic official,Foreign official,Domestic banks,Foreign banks,Domestic nonbanks,Foreign nonbanks,Total (right scale),Total WEO (right scale)
2010,0.0,0.0,0.0,0.0,0.0,0.0,78.81,74.1
2011,1.05,0.33,-0.68,-0.4,-2.32,-0.16,76.62,74.93
2012,1.7,1.49,-0.61,-0.29,-1.75,0.09,79.44,76.68
2013,3.01,1.82,-1.58,-0.38,-2.23,-0.41,79.03,75.89
2014,3.54,0.62,-2.63,-0.16,-4.26,-0.41,75.51,76.3
2015,5.19,0.86,-2.6,0.03,-3.02,-0.77,78.5,77.8
2016,7.03,0.16,-0.95,-0.2,-3.49,-0.83,80.54,81.48
2017,7.94,0.57,0.04,-0.42,-2.55,-0.5,83.88,80.52
2018,7.24,-0.02,-0.75,-0.44,-2.76,-1.18,80.9,80.69
2019,7.42,0.09,0.48,-0.21,-2.19,-0.58,83.82,82.13
2020,14.09,1.21,7.6,0.37,-0.43,0.37,102.04,97.37
2021,13.24,-0.25,5.05,-0.23,-3.76,-0.05,92.8,92.77
2022,11.81,-0.91,3.28,-0.27,-1.19,-0.89,90.63,89.26
2023,10.06,-1.16,4.93,0.07,0.66,-0.49,92.88,90.86
2024,7.83,-1.45,5.94,0.13,1.05,-0.23,92.08,92.01
2025,0.0,0.0,0.0,0.0,0.0,0.0,94.02,93.94
2026,0.0,0.0,0.0,0.0,0.0,0.0,95.37,95.3
2027,0.0,0.0,0.0,0.0,0.0,0.0,97.32,97.25
2028,0.0,0.0,0.0,0.0,0.0,0.0,98.88,98.8
2029,0.0,0.0,0.0,0.0,0.0,0.0,100.17,100.1
2030,0.0,0.0,0.0,0.0,0.0,0.0,101.38,101.31
2031,,,,,,,102.43,102.36
