year,Global (excluding China and United States): Primary balance,Global (excluding China and United States): Output gap,United States: Primary balance,United States: Output gap,China: Primary balance,China: Output gap
2015.0,-0.68,-0.7,-1.19,-1.06,-2.0,-0.96
2016.0,-0.51,-0.65,-1.87,-1.47,-2.66,-0.8
2017.0,0.13,0.2,-2.27,-1.29,-2.6,-0.6
2018.0,0.75,0.63,-2.57,-0.6,-3.41,-0.5
2019.0,0.25,0.31,-2.99,0.05,-5.17,-1.0
2020.0,-5.41,-4.23,-11.59,-3.38,-8.62,-4.0
2021.0,-2.19,-1.06,-8.8,0.13,-5.01,-1.1
2022.0,-0.22,0.48,-0.59,0.14,-6.4,-2.8
2023.0,-0.74,0.12,-4.3,0.29,-5.79,-2.1
2024.0,-0.63,0.03,-3.83,0.39,-6.15,-1.6
2025.0,-0.63,0.06,-2.54,0.0,-6.91,-1.0
2026.0,-0.48,-0.09,-3.08,-0.0,-7.04,-0.85
2027.0,-0.3,-0.1,-2.86,0.0,-7.11,-0.64
2028.0,-0.09,-0.02,-3.01,-0.0,-6.87,-0.2
2029.0,0.12,0.02,-2.73,-0.0,-6.6,-0.02
2030.0,0.22,0.05,-2.62,-0.0,-6.46,0.0
2031.0,0.27,0.03,-2.44,0.0,-6.41,0.0
