region,year,overall_balance,gross_debt,real_gdp_growth
Globe,2015.0,-3.12,77.8,3.45
Globe,2016.0,-3.28,81.48,3.22
Globe,2017.0,-2.97,80.52,3.84
Globe,2018.0,-2.82,80.69,3.64
Globe,2019.0,-3.52,82.13,2.96
Globe,2020.0,-9.51,97.37,-2.71
Globe,2021.0,-6.31,92.77,6.65
Globe,2022.0,-3.7,89.26,3.77
Globe,2023.0,-5.03,90.86,3.33
Globe,2024.0,-5.09,92.01,3.42
Globe,2025.0,-5.0,93.94,3.44
Globe,2026.0,-5.21,95.3,3.06
Globe,2027.0,-5.13,97.25,3.22
Globe,2028.0,-5.07,98.8,3.24
Globe,2029.0,-4.9,100.1,3.16
Globe,2030.0,-4.87,101.31,3.07
Globe,2031.0,-4.84,102.36,3.07
Poland,2015.0,-2.59,51.06,4.43
Poland,2016.0,-2.38,54.13,3.03
Poland,2017.0,-1.49,50.44,5.15
Poland,2018.0,-0.24,48.23,6.25
Poland,2019.0,-0.73,45.21,4.58
Poland,2020.0,-6.85,56.58,-2.04
Poland,2021.0,-1.68,53.01,6.93
Poland,2022.0,-3.37,48.79,5.26
Poland,2023.0,-5.2,49.52,0.25
Poland,2024.0,-6.48,55.09,3.03
Poland,2025.0,-7.01,58.8,3.57
Poland,2026.0,-6.75,65.73,3.81
Poland,2027.0,-6.37,69.57,2.5
Poland,2028.0,-5.72,71.57,2.71
Poland,2029.0,-5.39,73.86,2.63
Poland,2030.0,-5.02,75.85,2.48
Poland,2031.0,-4.81,77.57,2.48
