Year,Labor tax,Low-income transfers,General transfers,Business tax,Investment subsidies,Public consumption,Total effect
2025,0.17,0.04,0.05,0.08,0.34,0.01,0.69
2026,0.55,0.16,0.18,0.18,0.42,0.05,1.53
2027,0.62,0.12,0.25,0.25,0.38,0.07,1.69
2028,0.58,-0.02,0.25,0.24,0.31,0.08,1.43
2029,0.49,-0.14,0.25,0.21,0.21,0.06,1.08
2030,0.44,-0.21,0.2,0.17,0.14,0.01,0.74
2031,0.43,-0.25,0.16,0.16,0.08,-0.03,0.54
2032,0.45,-0.28,0.17,0.16,0.06,-0.06,0.5
2033,0.49,-0.3,0.17,0.18,0.05,-0.06,0.53
2034,0.5,-0.32,0.17,0.19,0.05,-0.05,0.54
