date,United States,Germany,United Kingdom,Japan,Canada,France
2015-01-01,1.51,0.64,1.31,0.35,0.78,0.86
2015-01-02,1.45,0.61,1.3,0.35,0.74,0.84
2015-01-05,1.38,0.62,1.25,0.34,0.71,0.85
2015-01-06,1.32,0.55,1.17,0.31,0.68,0.78
2015-01-07,1.36,0.59,1.19,0.32,0.68,0.84
2015-01-08,1.41,0.61,1.22,0.32,0.73,0.85
2015-01-09,1.38,0.61,1.2,0.3,0.71,0.85
2015-01-12,1.36,0.59,1.19,0.3,0.68,0.82
2015-01-13,1.36,0.6,1.18,0.29,0.68,0.81
2015-01-14,1.35,0.54,1.12,0.28,0.69,0.72
2015-01-15,1.3,0.62,1.12,0.28,0.65,0.76
2015-01-16,1.35,0.62,1.13,0.27,0.66,0.73
2015-01-19,1.35,0.61,1.14,0.23,0.66,0.74
2015-01-20,1.3,0.61,1.15,0.25,0.64,0.73
2015-01-21,1.36,0.69,1.14,0.28,0.88,0.78
2015-01-22,1.35,0.62,1.16,0.33,0.87,0.71
2015-01-23,1.31,0.53,1.14,0.25,0.91,0.64
2015-01-26,1.31,0.54,1.15,0.24,0.94,0.67
2015-01-27,1.31,0.54,1.12,0.27,0.93,0.66
2015-01-28,1.26,0.52,1.1,0.29,0.91,0.66
2015-01-29,1.24,0.53,1.06,0.29,0.91,0.69
2015-01-30,1.19,0.49,0.98,,0.86,0.63
2015-02-02,1.21,0.5,1.0,0.27,0.84,0.64
2015-02-03,1.28,0.54,1.08,0.34,0.88,0.68
2015-02-04,1.27,0.56,1.14,0.35,0.87,0.7
2015-02-05,1.3,0.56,1.15,0.31,0.93,0.7
2015-02-06,1.31,0.58,1.21,0.31,0.96,0.73
2015-02-09,1.33,0.56,1.2,0.3,0.95,0.78
2015-02-10,1.35,0.59,1.24,0.34,1.0,0.82
2015-02-11,1.35,0.57,1.26,0.34,1.01,0.8
2015-02-12,1.36,0.54,1.28,0.35,0.98,0.76
2015-02-13,1.41,0.56,1.29,0.38,1.0,0.76
2015-02-16,1.41,0.56,1.3,0.4,1.0,0.77
2015-02-17,1.48,0.59,1.37,0.36,1.05,0.8
2015-02-18,1.48,0.6,1.42,0.37,1.05,0.8
2015-02-19,1.5,0.6,1.4,0.36,1.04,0.8
2015-02-20,1.48,0.59,1.35,0.35,1.02,0.78
2015-02-23,1.46,0.58,1.38,0.35,0.97,0.76
2015-02-24,1.43,0.59,1.35,0.34,0.85,0.76
2015-02-25,1.37,0.56,1.31,0.32,0.85,0.73
2015-02-26,1.38,0.53,1.32,0.32,0.85,0.71
2015-02-27,1.37,0.56,1.36,0.32,0.83,0.74
2015-03-02,1.42,0.57,1.21,0.32,0.88,0.76
2015-03-03,1.44,0.57,1.24,0.35,0.92,0.8
2015-03-04,1.46,0.59,1.27,0.38,0.9,0.8
2015-03-05,1.48,0.55,1.28,0.4,0.91,0.77
2015-03-06,1.52,0.6,1.32,0.38,0.99,0.82
2015-03-09,1.5,0.53,1.31,0.41,0.97,0.74
2015-03-10,1.45,0.47,1.26,0.44,0.95,0.67
2015-03-11,1.43,0.45,1.26,0.39,0.92,0.62
2015-03-12,1.45,0.48,1.22,0.36,0.92,0.64
2015-03-13,1.46,0.49,1.22,0.39,0.92,0.64
2015-03-16,1.42,0.49,1.21,0.4,0.9,0.65
2015-03-17,1.38,0.49,1.2,0.41,0.87,0.66
2015-03-18,1.37,0.43,1.17,0.36,0.84,0.62
2015-03-19,1.36,0.42,1.12,0.33,0.84,0.61
2015-03-20,1.35,0.42,1.12,0.32,0.85,0.59
2015-03-23,1.34,0.45,1.12,0.29,0.85,0.62
2015-03-24,1.32,0.46,1.11,0.29,0.84,0.65
2015-03-25,1.32,0.45,1.08,0.3,0.84,0.65
2015-03-26,1.38,0.46,1.15,0.3,0.84,0.65
2015-03-27,1.37,0.45,1.14,0.33,0.84,0.66
2015-03-30,1.37,0.45,1.16,0.33,0.86,0.67
2015-03-31,1.37,0.43,1.15,0.36,0.85,0.64
2015-04-01,1.32,0.42,1.15,0.35,0.82,0.62
2015-04-02,1.37,0.45,1.16,0.32,0.82,0.66
2015-04-03,1.36,0.45,,0.35,0.82,0.66
2015-04-06,1.4,0.45,,0.32,0.85,0.66
2015-04-07,1.37,0.45,1.16,0.34,0.84,0.64
2015-04-08,1.37,0.45,1.14,0.34,0.83,0.64
2015-04-09,1.41,0.44,1.14,0.35,0.86,0.64
2015-04-10,1.39,0.44,1.15,0.34,0.85,0.62
2015-04-13,1.4,0.44,1.16,0.33,0.83,0.62
2015-04-14,1.39,0.42,1.1,0.32,0.81,0.6
2015-04-15,1.39,0.38,1.12,0.32,0.78,0.54
2015-04-16,1.41,0.36,1.13,0.32,0.79,0.54
2015-04-17,1.36,0.35,1.12,0.3,0.78,0.55
2015-04-20,1.37,0.34,1.11,0.3,0.78,0.54
2015-04-21,1.39,0.37,1.1,0.3,0.8,0.54
2015-04-22,1.43,0.42,1.16,0.31,0.83,0.58
2015-04-23,1.43,0.43,1.18,0.32,0.83,0.6
2015-04-24,1.4,0.42,1.16,0.31,0.81,0.61
2015-04-27,1.4,0.43,1.18,0.3,0.82,0.61
2015-04-28,1.44,0.44,1.19,0.3,0.88,0.62
2015-04-29,1.48,0.52,1.28,0.3,0.91,0.73
2015-04-30,1.46,0.59,1.3,0.33,0.9,0.79
2015-05-01,1.52,0.6,1.3,0.36,0.95,0.8
2015-05-04,1.54,0.67,,0.36,1.0,0.87
2015-05-05,1.56,0.74,1.39,0.36,1.05,0.98
2015-05-06,1.61,0.81,1.41,0.36,1.12,1.06
2015-05-07,1.55,0.79,1.38,0.41,1.07,1.05
2015-05-08,1.58,0.75,1.36,0.41,1.03,0.99
2015-05-11,1.66,0.82,1.38,0.39,1.11,1.05
2015-05-12,1.65,0.87,1.43,0.45,1.1,1.11
2015-05-13,1.72,0.91,1.45,0.45,1.14,1.14
2015-05-14,1.69,0.88,1.44,0.46,1.13,1.1
2015-05-15,1.61,0.82,1.39,0.41,1.07,1.04
2015-05-18,1.66,0.84,1.41,0.4,1.07,1.08
2015-05-19,1.68,0.8,1.43,0.39,1.13,1.03
2015-05-20,1.66,0.84,1.44,0.4,1.11,1.07
2015-05-21,1.62,0.86,1.43,0.42,1.08,1.08
2015-05-22,1.6,0.82,1.38,0.43,1.09,1.05
2015-05-25,1.6,0.82,,0.43,1.1,1.06
2015-05-26,1.53,0.77,1.34,0.43,1.06,1.02
2015-05-27,1.48,0.78,1.34,0.39,1.04,1.02
2015-05-28,1.51,0.76,1.32,0.41,1.05,1.01
2015-05-29,1.52,0.71,1.3,0.4,1.06,0.97
2015-06-01,1.53,0.76,1.34,0.4,1.07,1.03
2015-06-02,1.61,0.91,1.4,0.42,1.12,1.17
2015-06-03,1.69,1.06,1.48,0.46,1.18,1.31
2015-06-04,1.65,1.02,1.47,0.5,1.17,1.28
2015-06-05,1.7,1.02,1.51,0.49,1.19,1.3
2015-06-08,1.7,1.05,1.5,0.49,1.18,1.34
2015-06-09,1.72,1.11,1.53,0.45,1.22,1.4
2015-06-10,1.76,1.14,1.55,0.5,1.23,1.44
2015-06-11,1.66,1.05,1.52,0.54,1.16,1.34
2015-06-12,1.67,1.02,1.45,0.5,1.16,1.34
2015-06-15,1.65,1.01,1.47,0.5,1.14,1.39
